"ano";"categoria";"frequencia";"is_total";"periodo_metodologico";"cnae_subclasse"
2007;"Superior Completo";805;FALSE;"2006-2021";"2452"
2006;"Total";18045;TRUE;"2006-2021";"2452"
2006;"Analfabeto";69;FALSE;"2006-2021";"2452"
2006;"Até 5ª Incompleto";558;FALSE;"2006-2021";"2452"
2006;"5ª Completo Fundamental";1247;FALSE;"2006-2021";"2452"
2006;"6ª a 9ª Fundamental";2408;FALSE;"2006-2021";"2452"
2006;"Fundamental Completo";4273;FALSE;"2006-2021";"2452"
2006;"Médio Incompleto";1805;FALSE;"2006-2021";"2452"
2006;"Médio Completo";6428;FALSE;"2006-2021";"2452"
2006;"Superior Incompleto";541;FALSE;"2006-2021";"2452"
2006;"Superior Completo";716;FALSE;"2006-2021";"2452"
2025;"Total";14054;TRUE;"2022-atual";"2452"
2025;"Analfabeto";41;FALSE;"2022-atual";"2452"
2025;"Até 5ª Incompleto";300;FALSE;"2022-atual";"2452"
2025;"5ª Completo Fundamental";280;FALSE;"2022-atual";"2452"
2025;"6ª a 9ª Fundamental";639;FALSE;"2022-atual";"2452"
2025;"Fundamental Completo";1294;FALSE;"2022-atual";"2452"
2025;"Médio Incompleto";900;FALSE;"2022-atual";"2452"
2025;"Médio Completo";8969;FALSE;"2022-atual";"2452"
2025;"Superior Incompleto";311;FALSE;"2022-atual";"2452"
2025;"Superior Completo";1320;FALSE;"2022-atual";"2452"
2024;"Total";13754;TRUE;"2022-atual";"2452"
2024;"Analfabeto";36;FALSE;"2022-atual";"2452"
2024;"Até 5ª Incompleto";281;FALSE;"2022-atual";"2452"
2024;"5ª Completo Fundamental";276;FALSE;"2022-atual";"2452"
2024;"6ª a 9ª Fundamental";676;FALSE;"2022-atual";"2452"
2024;"Fundamental Completo";1323;FALSE;"2022-atual";"2452"
2024;"Médio Incompleto";854;FALSE;"2022-atual";"2452"
2024;"Médio Completo";8710;FALSE;"2022-atual";"2452"
2024;"Superior Incompleto";282;FALSE;"2022-atual";"2452"
2024;"Superior Completo";1316;FALSE;"2022-atual";"2452"
2023;"Total";12707;TRUE;"2022-atual";"2452"
2023;"Analfabeto";35;FALSE;"2022-atual";"2452"
2023;"Até 5ª Incompleto";273;FALSE;"2022-atual";"2452"
2023;"5ª Completo Fundamental";288;FALSE;"2022-atual";"2452"
2023;"6ª a 9ª Fundamental";660;FALSE;"2022-atual";"2452"
2023;"Fundamental Completo";1296;FALSE;"2022-atual";"2452"
2023;"Médio Incompleto";816;FALSE;"2022-atual";"2452"
2023;"Médio Completo";7820;FALSE;"2022-atual";"2452"
2023;"Superior Incompleto";254;FALSE;"2022-atual";"2452"
