"Competencia";"is_total";"UF";"cnae_subclasse";"Saldo_Movimentacao"
"Set/2019";FALSE;"43 - Rio Grande do Sul";"2452";4
"Set/2019";FALSE;"50 - Mato Grosso do Sul";"2451";0
"Set/2019";FALSE;"50 - Mato Grosso do Sul";"2452";-1
"Set/2019";FALSE;"51 - Mato Grosso";"2451";1
"Set/2019";FALSE;"51 - Mato Grosso";"2452";0
"Set/2019";FALSE;"52 - Goiás";"2451";1
"Set/2019";FALSE;"52 - Goiás";"2452";2
"Ago/2019";FALSE;"11 - Rondônia";"2451";0
"Ago/2019";FALSE;"11 - Rondônia";"2452";0
"Ago/2019";FALSE;"13 - Amazonas";"2451";0
"Ago/2019";FALSE;"13 - Amazonas";"2452";6
"Ago/2019";FALSE;"15 - Para";"2451";-3
"Ago/2019";FALSE;"15 - Para";"2452";0
"Ago/2019";FALSE;"21 - Maranhão";"2451";1
"Ago/2019";FALSE;"21 - Maranhão";"2452";-2
"Ago/2019";FALSE;"23 - Ceará";"2451";14
"Ago/2019";FALSE;"23 - Ceará";"2452";-3
"Ago/2019";FALSE;"25 - Paraíba";"2451";-1
"Ago/2019";FALSE;"25 - Paraíba";"2452";0
"Ago/2019";FALSE;"26 - Pernambuco";"2451";0
"Ago/2019";FALSE;"26 - Pernambuco";"2452";0
"Ago/2019";FALSE;"27 - Alagoas";"2451";1
"Ago/2019";FALSE;"27 - Alagoas";"2452";0
"Ago/2019";FALSE;"28 - Sergipe";"2451";0
"Ago/2019";FALSE;"28 - Sergipe";"2452";-7
"Ago/2019";FALSE;"29 - Bahia";"2451";1
"Ago/2019";FALSE;"29 - Bahia";"2452";0
"Ago/2019";FALSE;"31 - Minas Gerais";"2451";53
"Ago/2019";FALSE;"31 - Minas Gerais";"2452";-5
"Ago/2019";FALSE;"32 - Espírito Santo";"2451";0
"Ago/2019";FALSE;"32 - Espírito Santo";"2452";2
"Ago/2019";FALSE;"33 - Rio de Janeiro";"2451";-4
"Ago/2019";FALSE;"33 - Rio de Janeiro";"2452";13
"Ago/2019";FALSE;"35 - São Paulo";"2451";3
"Ago/2019";FALSE;"35 - São Paulo";"2452";33
"Ago/2019";FALSE;"41 - Paraná";"2451";-42
"Ago/2019";FALSE;"41 - Paraná";"2452";2
"Ago/2019";FALSE;"42 - Santa Catarina";"2451";-108
"Ago/2019";FALSE;"42 - Santa Catarina";"2452";1
"Ago/2019";FALSE;"43 - Rio Grande do Sul";"2451";0
"Ago/2019";FALSE;"43 - Rio Grande do Sul";"2452";0
"Ago/2019";FALSE;"50 - Mato Grosso do Sul";"2451";3
"Ago/2019";FALSE;"50 - Mato Grosso do Sul";"2452";1
"Ago/2019";FALSE;"51 - Mato Grosso";"2451";0
"Ago/2019";FALSE;"51 - Mato Grosso";"2452";1
"Ago/2019";FALSE;"52 - Goiás";"2451";-2
"Ago/2019";FALSE;"52 - Goiás";"2452";-5
"Jul/2019";FALSE;"11 - Rondônia";"2451";2
"Jul/2019";FALSE;"11 - Rondônia";"2452";-1
"Jul/2019";FALSE;"13 - Amazonas";"2451";0
"Jul/2019";FALSE;"13 - Amazonas";"2452";11
"Jul/2019";FALSE;"15 - Para";"2451";-2
"Jul/2019";FALSE;"15 - Para";"2452";0
"Jul/2019";FALSE;"21 - Maranhão";"2451";0
"Jul/2019";FALSE;"21 - Maranhão";"2452";1
"Jul/2019";FALSE;"23 - Ceará";"2451";29
"Jul/2019";FALSE;"23 - Ceará";"2452";0
"Jul/2019";FALSE;"24 - Rio Grande do Norte";"2451";-1
"Jul/2019";FALSE;"24 - Rio Grande do Norte";"2452";0
"Jul/2019";FALSE;"25 - Paraíba";"2451";-1
"Jul/2019";FALSE;"25 - Paraíba";"2452";0
"Jul/2019";FALSE;"26 - Pernambuco";"2451";2
"Jul/2019";FALSE;"26 - Pernambuco";"2452";0
"Jul/2019";FALSE;"27 - Alagoas";"2451";3
"Jul/2019";FALSE;"27 - Alagoas";"2452";0
"Jul/2019";FALSE;"28 - Sergipe";"2451";1
"Jul/2019";FALSE;"28 - Sergipe";"2452";5
"Jul/2019";FALSE;"29 - Bahia";"2451";1
"Jul/2019";FALSE;"29 - Bahia";"2452";0
"Jul/2019";FALSE;"31 - Minas Gerais";"2451";-11
"Jul/2019";FALSE;"31 - Minas Gerais";"2452";-10
"Jul/2019";FALSE;"32 - Espírito Santo";"2451";2
"Jul/2019";FALSE;"32 - Espírito Santo";"2452";0
"Jul/2019";FALSE;"33 - Rio de Janeiro";"2451";-7
"Jul/2019";FALSE;"33 - Rio de Janeiro";"2452";1
"Jul/2019";FALSE;"35 - São Paulo";"2451";-16
"Jul/2019";FALSE;"35 - São Paulo";"2452";26
"Jul/2019";FALSE;"41 - Paraná";"2451";-5
"Jul/2019";FALSE;"41 - Paraná";"2452";28
"Jul/2019";FALSE;"42 - Santa Catarina";"2451";42
"Jul/2019";FALSE;"42 - Santa Catarina";"2452";-13
"Jul/2019";FALSE;"43 - Rio Grande do Sul";"2451";-7
"Jul/2019";FALSE;"43 - Rio Grande do Sul";"2452";-7
"Jul/2019";FALSE;"50 - Mato Grosso do Sul";"2451";-4
"Jul/2019";FALSE;"50 - Mato Grosso do Sul";"2452";7
"Jul/2019";FALSE;"51 - Mato Grosso";"2451";-1
"Jul/2019";FALSE;"51 - Mato Grosso";"2452";0
"Jul/2019";FALSE;"52 - Goiás";"2451";-2
"Jul/2019";FALSE;"52 - Goiás";"2452";1
"Jun/2019";FALSE;"11 - Rondônia";"2451";-1
"Jun/2019";FALSE;"11 - Rondônia";"2452";2
"Jun/2019";FALSE;"13 - Amazonas";"2451";0
"Jun/2019";FALSE;"13 - Amazonas";"2452";-1
"Jun/2019";FALSE;"15 - Para";"2451";0
"Jun/2019";FALSE;"15 - Para";"2452";-5
"Jun/2019";FALSE;"21 - Maranhão";"2451";2
"Jun/2019";FALSE;"21 - Maranhão";"2452";2
"Jun/2019";FALSE;"23 - Ceará";"2451";-8
"Jun/2019";FALSE;"23 - Ceará";"2452";2
"Jun/2019";FALSE;"25 - Paraíba";"2451";-1
"Jun/2019";FALSE;"25 - Paraíba";"2452";0
"Jun/2019";FALSE;"26 - Pernambuco";"2451";-8
"Jun/2019";FALSE;"26 - Pernambuco";"2452";0
"Jun/2019";FALSE;"27 - Alagoas";"2451";4
"Jun/2019";FALSE;"27 - Alagoas";"2452";0
"Jun/2019";FALSE;"28 - Sergipe";"2451";0
"Jun/2019";FALSE;"28 - Sergipe";"2452";-1
"Jun/2019";FALSE;"29 - Bahia";"2451";1
"Jun/2019";FALSE;"29 - Bahia";"2452";-1
"Jun/2019";FALSE;"31 - Minas Gerais";"2451";42
"Jun/2019";FALSE;"31 - Minas Gerais";"2452";-22
"Jun/2019";FALSE;"32 - Espírito Santo";"2451";0
"Jun/2019";FALSE;"32 - Espírito Santo";"2452";-1
"Jun/2019";FALSE;"33 - Rio de Janeiro";"2451";5
"Jun/2019";FALSE;"33 - Rio de Janeiro";"2452";6
"Jun/2019";FALSE;"35 - São Paulo";"2451";-81
"Jun/2019";FALSE;"35 - São Paulo";"2452";-53
"Jun/2019";FALSE;"41 - Paraná";"2451";-24
"Jun/2019";FALSE;"41 - Paraná";"2452";-2
"Jun/2019";FALSE;"42 - Santa Catarina";"2451";0
"Jun/2019";FALSE;"42 - Santa Catarina";"2452";2
"Jun/2019";FALSE;"43 - Rio Grande do Sul";"2451";-26
"Jun/2019";FALSE;"43 - Rio Grande do Sul";"2452";-6
"Jun/2019";FALSE;"50 - Mato Grosso do Sul";"2451";0
"Jun/2019";FALSE;"50 - Mato Grosso do Sul";"2452";0
"Jun/2019";FALSE;"51 - Mato Grosso";"2451";2
"Jun/2019";FALSE;"51 - Mato Grosso";"2452";0
"Jun/2019";FALSE;"52 - Goiás";"2451";-2
"Jun/2019";FALSE;"52 - Goiás";"2452";2
"Mai/2019";FALSE;"11 - Rondônia";"2451";1
"Mai/2019";FALSE;"11 - Rondônia";"2452";2
"Mai/2019";FALSE;"13 - Amazonas";"2451";0
"Mai/2019";FALSE;"13 - Amazonas";"2452";5
"Mai/2019";FALSE;"15 - Para";"2451";-3
"Mai/2019";FALSE;"15 - Para";"2452";0
"Mai/2019";FALSE;"21 - Maranhão";"2451";0
"Mai/2019";FALSE;"21 - Maranhão";"2452";2
"Mai/2019";FALSE;"23 - Ceará";"2451";-6
"Mai/2019";FALSE;"23 - Ceará";"2452";2
"Mai/2019";FALSE;"24 - Rio Grande do Norte";"2451";1
"Mai/2019";FALSE;"24 - Rio Grande do Norte";"2452";0
"Mai/2019";FALSE;"25 - Paraíba";"2451";-1
"Mai/2019";FALSE;"25 - Paraíba";"2452";0
"Mai/2019";FALSE;"26 - Pernambuco";"2451";-5
"Mai/2019";FALSE;"26 - Pernambuco";"2452";0
"Mai/2019";FALSE;"27 - Alagoas";"2451";0
"Mai/2019";FALSE;"27 - Alagoas";"2452";0
"Mai/2019";FALSE;"28 - Sergipe";"2451";0
"Mai/2019";FALSE;"28 - Sergipe";"2452";6
"Mai/2019";FALSE;"29 - Bahia";"2451";0
"Mai/2019";FALSE;"29 - Bahia";"2452";-1
"Mai/2019";FALSE;"31 - Minas Gerais";"2451";94
"Mai/2019";FALSE;"31 - Minas Gerais";"2452";10
"Mai/2019";FALSE;"32 - Espírito Santo";"2451";0
"Mai/2019";FALSE;"32 - Espírito Santo";"2452";0
"Mai/2019";FALSE;"33 - Rio de Janeiro";"2451";0
"Mai/2019";FALSE;"33 - Rio de Janeiro";"2452";6
"Mai/2019";FALSE;"35 - São Paulo";"2451";-92
"Mai/2019";FALSE;"35 - São Paulo";"2452";-29
"Mai/2019";FALSE;"41 - Paraná";"2451";5
"Mai/2019";FALSE;"41 - Paraná";"2452";-65
"Mai/2019";FALSE;"42 - Santa Catarina";"2451";-35
"Mai/2019";FALSE;"42 - Santa Catarina";"2452";-2
"Mai/2019";FALSE;"43 - Rio Grande do Sul";"2451";-15
"Mai/2019";FALSE;"43 - Rio Grande do Sul";"2452";2
"Mai/2019";FALSE;"50 - Mato Grosso do Sul";"2451";0
"Mai/2019";FALSE;"50 - Mato Grosso do Sul";"2452";2
"Mai/2019";FALSE;"52 - Goiás";"2451";2
"Mai/2019";FALSE;"52 - Goiás";"2452";8
"Abr/2019";FALSE;"11 - Rondônia";"2451";0
"Abr/2019";FALSE;"11 - Rondônia";"2452";1
"Abr/2019";FALSE;"13 - Amazonas";"2451";0
"Abr/2019";FALSE;"13 - Amazonas";"2452";-9
"Abr/2019";FALSE;"15 - Para";"2451";-2
"Abr/2019";FALSE;"15 - Para";"2452";0
"Abr/2019";FALSE;"23 - Ceará";"2451";0
"Abr/2019";FALSE;"23 - Ceará";"2452";-2
"Abr/2019";FALSE;"24 - Rio Grande do Norte";"2451";-1
"Abr/2019";FALSE;"24 - Rio Grande do Norte";"2452";0
"Abr/2019";FALSE;"25 - Paraíba";"2451";1
"Abr/2019";FALSE;"25 - Paraíba";"2452";0
"Abr/2019";FALSE;"26 - Pernambuco";"2451";0
"Abr/2019";FALSE;"26 - Pernambuco";"2452";0
"Abr/2019";FALSE;"27 - Alagoas";"2451";0
"Abr/2019";FALSE;"27 - Alagoas";"2452";0
"Abr/2019";FALSE;"28 - Sergipe";"2451";0
"Abr/2019";FALSE;"28 - Sergipe";"2452";-2
"Abr/2019";FALSE;"31 - Minas Gerais";"2451";65
"Abr/2019";FALSE;"31 - Minas Gerais";"2452";-4
"Abr/2019";FALSE;"32 - Espírito Santo";"2451";0
"Abr/2019";FALSE;"32 - Espírito Santo";"2452";1
"Abr/2019";FALSE;"33 - Rio de Janeiro";"2451";4
"Abr/2019";FALSE;"33 - Rio de Janeiro";"2452";-2
"Abr/2019";FALSE;"35 - São Paulo";"2451";-84
"Abr/2019";FALSE;"35 - São Paulo";"2452";-17
"Abr/2019";FALSE;"41 - Paraná";"2451";22
"Abr/2019";FALSE;"41 - Paraná";"2452";-61
"Abr/2019";FALSE;"42 - Santa Catarina";"2451";9
"Abr/2019";FALSE;"42 - Santa Catarina";"2452";-11
"Abr/2019";FALSE;"43 - Rio Grande do Sul";"2451";62
"Abr/2019";FALSE;"43 - Rio Grande do Sul";"2452";4
"Abr/2019";FALSE;"50 - Mato Grosso do Sul";"2451";-1
"Abr/2019";FALSE;"50 - Mato Grosso do Sul";"2452";0
"Abr/2019";FALSE;"51 - Mato Grosso";"2451";2
"Abr/2019";FALSE;"51 - Mato Grosso";"2452";3
"Abr/2019";FALSE;"52 - Goiás";"2451";-2
"Abr/2019";FALSE;"52 - Goiás";"2452";0
"Abr/2019";FALSE;"53 - Distrito Federal";"2451";1
"Abr/2019";FALSE;"53 - Distrito Federal";"2452";0
"Mar/2019";FALSE;"11 - Rondônia";"2451";1
"Mar/2019";FALSE;"11 - Rondônia";"2452";1
"Mar/2019";FALSE;"13 - Amazonas";"2451";0
"Mar/2019";FALSE;"13 - Amazonas";"2452";2
"Mar/2019";FALSE;"21 - Maranhão";"2451";0
"Mar/2019";FALSE;"21 - Maranhão";"2452";-1
"Mar/2019";FALSE;"23 - Ceará";"2451";0
"Mar/2019";FALSE;"23 - Ceará";"2452";0
"Mar/2019";FALSE;"26 - Pernambuco";"2451";-5
"Mar/2019";FALSE;"26 - Pernambuco";"2452";0
"Mar/2019";FALSE;"28 - Sergipe";"2451";0
"Mar/2019";FALSE;"28 - Sergipe";"2452";1
"Mar/2019";FALSE;"29 - Bahia";"2451";6
"Mar/2019";FALSE;"29 - Bahia";"2452";0
"Mar/2019";FALSE;"31 - Minas Gerais";"2451";43
"Mar/2019";FALSE;"31 - Minas Gerais";"2452";-2
"Mar/2019";FALSE;"32 - Espírito Santo";"2451";1
"Mar/2019";FALSE;"32 - Espírito Santo";"2452";0
"Mar/2019";FALSE;"33 - Rio de Janeiro";"2451";-4
"Mar/2019";FALSE;"33 - Rio de Janeiro";"2452";1
"Mar/2019";FALSE;"35 - São Paulo";"2451";-17
"Mar/2019";FALSE;"35 - São Paulo";"2452";40
"Mar/2019";FALSE;"41 - Paraná";"2451";41
"Mar/2019";FALSE;"41 - Paraná";"2452";54
"Mar/2019";FALSE;"42 - Santa Catarina";"2451";64
"Mar/2019";FALSE;"42 - Santa Catarina";"2452";14
"Mar/2019";FALSE;"43 - Rio Grande do Sul";"2451";26
"Mar/2019";FALSE;"43 - Rio Grande do Sul";"2452";2
"Mar/2019";FALSE;"50 - Mato Grosso do Sul";"2451";-2
