Fluxo;Ano;Codigo_NCM;Descricao_NCM;Valor_US_FOB;Quilograma_Liquido
Importação;2017;73251000;"Outras obras moldadas de ferro fundido, não maleável";1398570;409865
Importação;2017;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";54142152;53493694
Importação;2017;73259910;"Outras obras moldadas, de aço";6043068;878560
Importação;2017;73259990;"Outras obras moldadas, de ferro fundido ou ferro";8023923;5664776
Exportação;2018;73251000;"Outras obras moldadas de ferro fundido, não maleável";7315903;3695365
Exportação;2018;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";11583229;8308104
Exportação;2018;73259910;"Outras obras moldadas, de aço";2691378;789243
Exportação;2018;73259990;"Outras obras moldadas, de ferro fundido ou ferro";3768065;920218
Importação;2018;73251000;"Outras obras moldadas de ferro fundido, não maleável";2972807;706830
Importação;2018;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";57453917;50070296
Importação;2018;73259910;"Outras obras moldadas, de aço";6524827;1055656
Importação;2018;73259990;"Outras obras moldadas, de ferro fundido ou ferro";9829642;6051449
Exportação;2019;73251000;"Outras obras moldadas de ferro fundido, não maleável";6628690;3664959
Exportação;2019;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";6959962;5391195
Exportação;2019;73259910;"Outras obras moldadas, de aço";3629767;848150
Exportação;2019;73259990;"Outras obras moldadas, de ferro fundido ou ferro";5735694;1303298
Importação;2019;73251000;"Outras obras moldadas de ferro fundido, não maleável";2184485;805255
Importação;2019;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";40902588;37906392
Importação;2019;73259910;"Outras obras moldadas, de aço";7504690;1039901
Importação;2019;73259990;"Outras obras moldadas, de ferro fundido ou ferro";9165381;6208834
Exportação;2020;73251000;"Outras obras moldadas de ferro fundido, não maleável";5056542;3065888
Exportação;2020;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";3834373;3261979
Exportação;2020;73259910;"Outras obras moldadas, de aço";2448174;636602
Exportação;2020;73259990;"Outras obras moldadas, de ferro fundido ou ferro";4796758;1269540
Importação;2020;73251000;"Outras obras moldadas de ferro fundido, não maleável";1473734;589292
Importação;2020;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";15086401;20199700
Importação;2020;73259910;"Outras obras moldadas, de aço";5891068;794161
Importação;2020;73259990;"Outras obras moldadas, de ferro fundido ou ferro";8493760;6398527
Exportação;2021;73251000;"Outras obras moldadas de ferro fundido, não maleável";7610122;4603871
Exportação;2021;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";4245470;3142917
Exportação;2021;73259910;"Outras obras moldadas, de aço";2407357;428330
Exportação;2021;73259990;"Outras obras moldadas, de ferro fundido ou ferro";7307764;1875027
Importação;2021;73251000;"Outras obras moldadas de ferro fundido, não maleável";2321187;960113
Importação;2021;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";43445669;41903352
Importação;2021;73259910;"Outras obras moldadas, de aço";9305696;1193891
Importação;2021;73259990;"Outras obras moldadas, de ferro fundido ou ferro";18662167;9973630
Exportação;2022;73251000;"Outras obras moldadas de ferro fundido, não maleável";11030291;5212679
Exportação;2022;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";6427935;3451391
Exportação;2022;73259910;"Outras obras moldadas, de aço";4594461;609296
Exportação;2022;73259990;"Outras obras moldadas, de ferro fundido ou ferro";9890522;2076957
Importação;2022;73251000;"Outras obras moldadas de ferro fundido, não maleável";4581156;1900292
Importação;2022;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";37894602;27400057
Importação;2022;73259910;"Outras obras moldadas, de aço";9086608;1183449
Importação;2022;73259990;"Outras obras moldadas, de ferro fundido ou ferro";20482772;8880619
Exportação;2023;73251000;"Outras obras moldadas de ferro fundido, não maleável";10337974;3813911
Exportação;2023;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";4981867;2808973
Exportação;2023;73259910;"Outras obras moldadas, de aço";5853500;575941
Exportação;2023;73259990;"Outras obras moldadas, de ferro fundido ou ferro";5476944;1017357
Importação;2023;73251000;"Outras obras moldadas de ferro fundido, não maleável";6081299;2484826
Importação;2023;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";54868725;35523558
Importação;2023;73259910;"Outras obras moldadas, de aço";8274180;906850
Importação;2023;73259990;"Outras obras moldadas, de ferro fundido ou ferro";14652477;7381546
Exportação;2024;73251000;"Outras obras moldadas de ferro fundido, não maleável";9308864;2934535
Exportação;2024;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";4553873;2516215
Exportação;2024;73259910;"Outras obras moldadas, de aço";5580977;465005
Exportação;2024;73259990;"Outras obras moldadas, de ferro fundido ou ferro";10812170;1821240
Importação;2024;73251000;"Outras obras moldadas de ferro fundido, não maleável";5449887;1661848
Importação;2024;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";37452262;27043573
Importação;2024;73259910;"Outras obras moldadas, de aço";10514431;1382910
Importação;2024;73259990;"Outras obras moldadas, de ferro fundido ou ferro";15005393;9223432
Exportação;2025;73251000;"Outras obras moldadas de ferro fundido, não maleável";7396785;2682830
Exportação;2025;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";1917868;1036767
Exportação;2025;73259910;"Outras obras moldadas, de aço";6177492;554041
Exportação;2025;73259990;"Outras obras moldadas, de ferro fundido ou ferro";10944452;2056231
Importação;2025;73251000;"Outras obras moldadas de ferro fundido, não maleável";4166431;1364497
Importação;2025;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";65180631;49326285
Importação;2025;73259910;"Outras obras moldadas, de aço";12985792;2187948
Importação;2025;73259990;"Outras obras moldadas, de ferro fundido ou ferro";13793318;8721845
Exportação;2026;73251000;"Outras obras moldadas de ferro fundido, não maleável";3560523;1431135
Exportação;2026;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";2636082;1592872
Exportação;2026;73259910;"Outras obras moldadas, de aço";1651173;182857
Exportação;2026;73259990;"Outras obras moldadas, de ferro fundido ou ferro";2121783;324855
Importação;2026;73251000;"Outras obras moldadas de ferro fundido, não maleável";2021869;655408
Importação;2026;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";28344564;20829571
Importação;2026;73259910;"Outras obras moldadas, de aço";6842661;1149285
Importação;2026;73259990;"Outras obras moldadas, de ferro fundido ou ferro";5851816;3889144
