"ano";"categoria";"frequencia";"is_total";"periodo_metodologico";"cnae_subclasse"
2006;"120,0 meses ou mais";6985;FALSE;"2006-2021";"2451"
2006;"{ñ class}";9;FALSE;"2006-2021";"2451"
2025;"Total";42436;TRUE;"2022-atual";"2451"
2025;"Ate 2,9 meses";1858;FALSE;"2022-atual";"2451"
2025;"3,0 a 5,9 meses";2517;FALSE;"2022-atual";"2451"
2025;"6,0 a 11,9 meses";5251;FALSE;"2022-atual";"2451"
2025;"12,0 a 23,9 meses";5162;FALSE;"2022-atual";"2451"
2025;"24,0 a 35,9 meses";3340;FALSE;"2022-atual";"2451"
2025;"36,0 a 59,9 meses";8173;FALSE;"2022-atual";"2451"
2025;"60,0 a 119,9 meses";6150;FALSE;"2022-atual";"2451"
2025;"120,0 meses ou mais";9974;FALSE;"2022-atual";"2451"
2025;"{ñ class}";11;FALSE;"2022-atual";"2451"
2024;"Total";43904;TRUE;"2022-atual";"2451"
2024;"Ate 2,9 meses";2374;FALSE;"2022-atual";"2451"
2024;"3,0 a 5,9 meses";2871;FALSE;"2022-atual";"2451"
2024;"6,0 a 11,9 meses";4614;FALSE;"2022-atual";"2451"
2024;"12,0 a 23,9 meses";4942;FALSE;"2022-atual";"2451"
2024;"24,0 a 35,9 meses";4376;FALSE;"2022-atual";"2451"
2024;"36,0 a 59,9 meses";8244;FALSE;"2022-atual";"2451"
2024;"60,0 a 119,9 meses";6239;FALSE;"2022-atual";"2451"
2024;"120,0 meses ou mais";10237;FALSE;"2022-atual";"2451"
2024;"{ñ class}";7;FALSE;"2022-atual";"2451"
2023;"Total";44336;TRUE;"2022-atual";"2451"
2023;"Ate 2,9 meses";2124;FALSE;"2022-atual";"2451"
2023;"3,0 a 5,9 meses";2779;FALSE;"2022-atual";"2451"
2023;"6,0 a 11,9 meses";4253;FALSE;"2022-atual";"2451"
2023;"12,0 a 23,9 meses";6183;FALSE;"2022-atual";"2451"
2023;"24,0 a 35,9 meses";7973;FALSE;"2022-atual";"2451"
