"Competencia";"is_total";"UF";"cnae_subclasse";"Salario_Mensal"
"Ago/2019";FALSE;"28 - Sergipe";"2452";9593
"Ago/2019";FALSE;"29 - Bahia";"2451";3428
"Ago/2019";FALSE;"29 - Bahia";"2452";0
"Ago/2019";FALSE;"31 - Minas Gerais";"2451";622627
"Ago/2019";FALSE;"31 - Minas Gerais";"2452";108116
"Ago/2019";FALSE;"32 - Espírito Santo";"2451";4874
"Ago/2019";FALSE;"32 - Espírito Santo";"2452";2622
"Ago/2019";FALSE;"33 - Rio de Janeiro";"2451";13565
"Ago/2019";FALSE;"33 - Rio de Janeiro";"2452";29920
"Ago/2019";FALSE;"35 - São Paulo";"2451";684279
"Ago/2019";FALSE;"35 - São Paulo";"2452";572421
"Ago/2019";FALSE;"41 - Paraná";"2451";198329
"Ago/2019";FALSE;"41 - Paraná";"2452";247384
"Ago/2019";FALSE;"42 - Santa Catarina";"2451";1139594
"Ago/2019";FALSE;"42 - Santa Catarina";"2452";91615
"Ago/2019";FALSE;"43 - Rio Grande do Sul";"2451";456653
"Ago/2019";FALSE;"43 - Rio Grande do Sul";"2452";54781
"Ago/2019";FALSE;"50 - Mato Grosso do Sul";"2451";6923
"Ago/2019";FALSE;"50 - Mato Grosso do Sul";"2452";4547
"Ago/2019";FALSE;"51 - Mato Grosso";"2451";0
"Ago/2019";FALSE;"51 - Mato Grosso";"2452";3621
"Ago/2019";FALSE;"52 - Goiás";"2451";9816
"Ago/2019";FALSE;"52 - Goiás";"2452";13341
"Jul/2019";FALSE;"11 - Rondônia";"2451";8112
"Jul/2019";FALSE;"11 - Rondônia";"2452";1128
"Jul/2019";FALSE;"13 - Amazonas";"2451";0
"Jul/2019";FALSE;"13 - Amazonas";"2452";34553
"Jul/2019";FALSE;"15 - Para";"2451";2998
"Jul/2019";FALSE;"15 - Para";"2452";0
"Jul/2019";FALSE;"21 - Maranhão";"2451";0
"Jul/2019";FALSE;"21 - Maranhão";"2452";1186
"Jul/2019";FALSE;"23 - Ceará";"2451";37815
"Jul/2019";FALSE;"23 - Ceará";"2452";4568
"Jul/2019";FALSE;"24 - Rio Grande do Norte";"2451";1289
"Jul/2019";FALSE;"24 - Rio Grande do Norte";"2452";0
"Jul/2019";FALSE;"25 - Paraíba";"2451";1122
"Jul/2019";FALSE;"25 - Paraíba";"2452";0
"Jul/2019";FALSE;"26 - Pernambuco";"2451";24218
"Jul/2019";FALSE;"26 - Pernambuco";"2452";0
"Jul/2019";FALSE;"27 - Alagoas";"2451";3793
"Jul/2019";FALSE;"27 - Alagoas";"2452";0
"Jul/2019";FALSE;"28 - Sergipe";"2451";1700
"Jul/2019";FALSE;"28 - Sergipe";"2452";6051
"Jul/2019";FALSE;"29 - Bahia";"2451";3731
"Jul/2019";FALSE;"29 - Bahia";"2452";0
"Jul/2019";FALSE;"31 - Minas Gerais";"2451";744034
"Jul/2019";FALSE;"31 - Minas Gerais";"2452";170874
"Jul/2019";FALSE;"32 - Espírito Santo";"2451";4620
"Jul/2019";FALSE;"32 - Espírito Santo";"2452";0
"Jul/2019";FALSE;"33 - Rio de Janeiro";"2451";11671
"Jul/2019";FALSE;"33 - Rio de Janeiro";"2452";32577
"Jul/2019";FALSE;"35 - São Paulo";"2451";845843
"Jul/2019";FALSE;"35 - São Paulo";"2452";627118
"Jul/2019";FALSE;"41 - Paraná";"2451";107781
"Jul/2019";FALSE;"41 - Paraná";"2452";259618
"Jul/2019";FALSE;"42 - Santa Catarina";"2451";1460141
"Jul/2019";FALSE;"42 - Santa Catarina";"2452";97157
"Jul/2019";FALSE;"43 - Rio Grande do Sul";"2451";403406
"Jul/2019";FALSE;"43 - Rio Grande do Sul";"2452";50236
"Jul/2019";FALSE;"50 - Mato Grosso do Sul";"2451";7312
"Jul/2019";FALSE;"50 - Mato Grosso do Sul";"2452";16336
"Jul/2019";FALSE;"51 - Mato Grosso";"2451";1470
"Jul/2019";FALSE;"51 - Mato Grosso";"2452";0
"Jul/2019";FALSE;"52 - Goiás";"2451";9986
"Jul/2019";FALSE;"52 - Goiás";"2452";13552
"Jun/2019";FALSE;"11 - Rondônia";"2451";16801
"Jun/2019";FALSE;"11 - Rondônia";"2452";3400
"Jun/2019";FALSE;"13 - Amazonas";"2451";0
"Jun/2019";FALSE;"13 - Amazonas";"2452";15780
"Jun/2019";FALSE;"15 - Para";"2451";0
"Jun/2019";FALSE;"15 - Para";"2452";6000
"Jun/2019";FALSE;"21 - Maranhão";"2451";2299
"Jun/2019";FALSE;"21 - Maranhão";"2452";1996
"Jun/2019";FALSE;"23 - Ceará";"2451";26891
"Jun/2019";FALSE;"23 - Ceará";"2452";4953
"Jun/2019";FALSE;"25 - Paraíba";"2451";1026
"Jun/2019";FALSE;"25 - Paraíba";"2452";0
"Jun/2019";FALSE;"26 - Pernambuco";"2451";29730
"Jun/2019";FALSE;"26 - Pernambuco";"2452";0
"Jun/2019";FALSE;"27 - Alagoas";"2451";7586
"Jun/2019";FALSE;"27 - Alagoas";"2452";0
"Jun/2019";FALSE;"28 - Sergipe";"2451";0
"Jun/2019";FALSE;"28 - Sergipe";"2452";3998
"Jun/2019";FALSE;"29 - Bahia";"2451";998
"Jun/2019";FALSE;"29 - Bahia";"2452";1130
"Jun/2019";FALSE;"31 - Minas Gerais";"2451";702886
"Jun/2019";FALSE;"31 - Minas Gerais";"2452";174277
"Jun/2019";FALSE;"32 - Espírito Santo";"2451";2421
"Jun/2019";FALSE;"32 - Espírito Santo";"2452";3208
"Jun/2019";FALSE;"33 - Rio de Janeiro";"2451";12232
"Jun/2019";FALSE;"33 - Rio de Janeiro";"2452";21205
