"ano";"categoria";"frequencia";"vl_remun_dezembro_nom";"is_total";"periodo_metodologico";"cnae_subclasse";"remuneracao_media_nominal"
2018;"28 - Sergipe";5;5247;FALSE;"2006-2021";"2451";1049,4
2018;"29 - Bahia";72;120595,189999996;FALSE;"2006-2021";"2451";1674,93319444439
2018;"31 - Minas Gerais";10271;28559816,5500002;FALSE;"2006-2021";"2451";2780,62667218384
2018;"32 - Espírito Santo";98;221304,450000013;FALSE;"2006-2021";"2451";2258,20867346952
2018;"33 - Rio de Janeiro";364;525292,370000003;FALSE;"2006-2021";"2451";1443,11090659341
2018;"35 - São Paulo";9256;32383465,4899999;FALSE;"2006-2021";"2451";3498,64579624027
2018;"41 - Paraná";1341;3677305,52000005;FALSE;"2006-2021";"2451";2742,21142431025
2018;"42 - Santa Catarina";18007;58248854,08;FALSE;"2006-2021";"2451";3234,78947520409
2018;"43 - Rio Grande do Sul";4082;11961407,6300001;FALSE;"2006-2021";"2451";2930,28114404706
2018;"50 - Mato Grosso do Sul";49;99989,4699999969;FALSE;"2006-2021";"2451";2040,60142857137
2018;"51 - Mato Grosso";17;27349,8600000031;FALSE;"2006-2021";"2451";1608,81529411783
2018;"52 - Goiás";76;195651,810000001;FALSE;"2006-2021";"2451";2574,36592105264
2018;"53 - Distrito Federal";4;7752,48000000045;FALSE;"2006-2021";"2451";1938,12000000011
2017;"Total";40151;121577072;TRUE;"2006-2021";"2451";3027,99611466713
2017;"11 - Rondônia";56;105954,380000004;FALSE;"2006-2021";"2451";1892,04250000007
2017;"12 - Acre";5;8877,16999999806;FALSE;"2006-2021";"2451";1775,43399999961
2017;"13 - Amazonas";0;0;FALSE;"2006-2021";"2451";NA
2017;"15 - Pará";61;97026,5100000091;FALSE;"2006-2021";"2451";1590,59852459031
2017;"17 - Tocantins";1;937;FALSE;"2006-2021";"2451";937
2017;"21 - Maranhão";21;29569,0400000038;FALSE;"2006-2021";"2451";1408,0495238097
2017;"22 - Piauí";29;35096,2500000028;FALSE;"2006-2021";"2451";1210,21551724148
2017;"23 - Ceará";165;264525,410000021;FALSE;"2006-2021";"2451";1603,18430303043
2017;"24 - Rio Grande do Norte";17;21833,9199999953;FALSE;"2006-2021";"2451";1284,34823529384
2017;"25 - Paraíba";28;31636,1499999976;FALSE;"2006-2021";"2451";1129,86249999991
2017;"26 - Pernambuco";337;1204562,33;FALSE;"2006-2021";"2451";3574,36893175074
2017;"27 - Alagoas";73;147841,369999997;FALSE;"2006-2021";"2451";2025,2242465753
2017;"28 - Sergipe";4;4216,5;FALSE;"2006-2021";"2451";1054,125
