"Competencia";"is_total";"Tipo_Movimentacao";"cnae_subclasse";"Quantidade"
"Mai/2019";FALSE;"Admissão por primeiro emprego";"2451";221
"Mai/2019";FALSE;"Admissão por primeiro emprego";"2452";19
"Mai/2019";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2451";695
"Mai/2019";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2452";279
"Mai/2019";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2451";671
"Mai/2019";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2452";271
"Mai/2019";FALSE;"Desligamento por demissão com justa causa";"2451";50
"Mai/2019";FALSE;"Desligamento por demissão com justa causa";"2452";5
"Mai/2019";FALSE;"Desligamento a pedido";"2451";231
"Mai/2019";FALSE;"Desligamento a pedido";"2452";63
"Mai/2019";FALSE;"Desligamento por morte";"2451";9
"Mai/2019";FALSE;"Desligamento por morte";"2452";3
"Mai/2019";FALSE;"Desligamento por acordo empregado e empregador";"2451";9
"Mai/2019";FALSE;"Desligamento por acordo empregado e empregador";"2452";8
"Abr/2019";FALSE;"Admissão por primeiro emprego";"2451";260
"Abr/2019";FALSE;"Admissão por primeiro emprego";"2452";28
"Abr/2019";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2451";816
"Abr/2019";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2452";283
"Abr/2019";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2451";674
"Abr/2019";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2452";329
"Abr/2019";FALSE;"Desligamento por demissão com justa causa";"2451";41
"Abr/2019";FALSE;"Desligamento por demissão com justa causa";"2452";7
"Abr/2019";FALSE;"Desligamento a pedido";"2451";257
"Abr/2019";FALSE;"Desligamento a pedido";"2452";70
"Abr/2019";FALSE;"Desligamento por morte";"2451";9
"Abr/2019";FALSE;"Desligamento por morte";"2452";1
"Abr/2019";FALSE;"Desligamento por acordo empregado e empregador";"2451";19
"Abr/2019";FALSE;"Desligamento por acordo empregado e empregador";"2452";3
"Mar/2019";FALSE;"Admissão por primeiro emprego";"2451";222
"Mar/2019";FALSE;"Admissão por primeiro emprego";"2452";41
"Mar/2019";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2451";828
"Mar/2019";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2452";358
"Mar/2019";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2451";550
"Mar/2019";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2452";221
"Mar/2019";FALSE;"Desligamento por demissão com justa causa";"2451";30
"Mar/2019";FALSE;"Desligamento por demissão com justa causa";"2452";3
"Mar/2019";FALSE;"Desligamento a pedido";"2451";283
"Mar/2019";FALSE;"Desligamento a pedido";"2452";62
"Mar/2019";FALSE;"Desligamento por morte";"2451";9
"Mar/2019";FALSE;"Desligamento por morte";"2452";0
"Mar/2019";FALSE;"Desligamento por acordo empregado e empregador";"2451";22
"Mar/2019";FALSE;"Desligamento por acordo empregado e empregador";"2452";4
"Fev/2019";FALSE;"Admissão por primeiro emprego";"2451";410
"Fev/2019";FALSE;"Admissão por primeiro emprego";"2452";50
"Fev/2019";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2451";984
"Fev/2019";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2452";348
"Fev/2019";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2451";599
"Fev/2019";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2452";267
"Fev/2019";FALSE;"Desligamento por demissão com justa causa";"2451";44
"Fev/2019";FALSE;"Desligamento por demissão com justa causa";"2452";4
"Fev/2019";FALSE;"Desligamento a pedido";"2451";287
"Fev/2019";FALSE;"Desligamento a pedido";"2452";61
"Fev/2019";FALSE;"Desligamento por morte";"2451";3
"Fev/2019";FALSE;"Desligamento por morte";"2452";1
"Fev/2019";FALSE;"Desligamento por acordo empregado e empregador";"2451";22
"Fev/2019";FALSE;"Desligamento por acordo empregado e empregador";"2452";4
"Jan/2019";FALSE;"Admissão por primeiro emprego";"2451";311
"Jan/2019";FALSE;"Admissão por primeiro emprego";"2452";12
"Jan/2019";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2451";996
"Jan/2019";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2452";296
"Jan/2019";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2451";692
"Jan/2019";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2452";203
"Jan/2019";FALSE;"Desligamento por demissão com justa causa";"2451";51
"Jan/2019";FALSE;"Desligamento por demissão com justa causa";"2452";2
"Jan/2019";FALSE;"Desligamento a pedido";"2451";272
"Jan/2019";FALSE;"Desligamento a pedido";"2452";56
"Jan/2019";FALSE;"Desligamento por morte";"2451";6
"Jan/2019";FALSE;"Desligamento por morte";"2452";2
"Jan/2019";FALSE;"Desligamento por acordo empregado e empregador";"2451";20
"Jan/2019";FALSE;"Desligamento por acordo empregado e empregador";"2452";6
"Dez/2018";FALSE;"Admissão por primeiro emprego";"2451";169
"Dez/2018";FALSE;"Admissão por primeiro emprego";"2452";7
"Dez/2018";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2451";262
"Dez/2018";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2452";182
"Dez/2018";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2451";674
